UID,chair
Session 1A,Jayadev Acharya
Session 1B,Aravindan Vijayaraghavan
Session 1C,Rachel Cummings
Session 1D,Praneeth Netrapalli
Session 1E,Prateek Jain
Session 2A,Tim van Erven
Session 2B,Kfir Levy
Session 2C,Alekh Agarwal
Session 2D,Kamalika Chaudhuri
Session 2E,Wouter Koolen
Session 3A,Tim van Erven
Session 3B,Csaba Szepesvari
Session 3C,Dylan Foster
Session 3D,Sanjoy Dasgupta
Session 3E,Vasilis Syrgkanis
Session 4A,Gergely Neu
Session 4B,Peter Grunwald
Session 4C,Csaba Szepesvari
Session 4D,Pranjal Awasthi
Session 4E,Prateek Jain
Session OP,Vitaly Feldman