UID,Hosts: Coffee Room 1,Hosts: Coffee Room 2,Hosts: Coffee Room 3,Hosts: Coffee Room 4,GRAD Student Coffee Room
Biz meeting,Rafael Frongillo and Jacob Abernethy,,,,Kush Bhatia
1A,Csaba Szepesvari and Gergely Neu,,,,
2E,S̩bastien Gerchinovitz and Tor Lattimore,,,,
1C,Rachel Cummings and Jamie Morgenstern,,,,
1B,Dylan Foster and Akshay Krishnamurthy,,,,Bhuvesh Kumar and Amartya Sanyal
1E,Peter Grunwald and Tim van Erven,,,,
2A,Prateek Jain and Shipra Agrawal,Manfred Warmuth and Rafael Frongillo,,,Blake Woodworth
2B,Aravindan Vijayaraghavan and Anindya De,Csaba Szepesvari and Aaditya Ramdas,,,Bhuvesh Kumar and Amartya Sanyal
2C,,,,,Ayush Sekhari and Kush Bhatia
3C,Nika Haghtalab and Rachel Cummings,,,,
3B,Gergely Neu and Tim van Erven,Dylan Foster and Karthik Sridharan,,,
3A,Satyen Kale and Alekh Agarwal,Wouter Koolen and Aaditya Ramdas,,,Julia Olkhovskaya
4E,Gergely Neu and Peter Grunwald,,,,
4B,Nika Haghtalab and Karthik Sridharan,,,,
4C,Pranjal Awasthi and Jacob Abernethy,,,,
3E,Kfir Levy and Tomer Koren,,,,
4A,Kamalika Chaudhuri and Praneeth Netrapalli,,,,Ayush Sekhari
